date, pm25, pm10, o3, no2, so2, co
2024/3/4, 92, 38, 30, 21, 3, 5
2024/3/5, 69, 11, 26, 11, 3, 4
2024/3/6, 29, 24, 30, 11, 3, 4
2024/3/7, 55, 36, 33, 7, 4, 4
2024/3/8, 63, 29, 29, 9, 3, 4
2024/3/9, 57, 27, 35, 19, 4, 5
2024/3/10, 61, 32, 23, 31, 4, 5
2024/3/11, 67, 28, 27, 31, 3, 6
2024/3/12, 65, 40, 43, 23, 4, 5
2024/3/13, 79, 53, 38, 26, 4, 5
2024/3/14, 99, 48, 38, 21, 4, 4
2024/3/15, 97, 46, 45, 18, 4, 4
2024/3/16, 108, 68, 34, 6, 3, 3
2024/3/18, 18, 39, 37, 11, 3, 3
2024/3/19, 75, 34, 34, 5, 3, 4
2024/3/20, 75, 31, 34, 14, 4, 5
2024/3/21, 70, 38, 36, 21, 4, 4
2024/3/22, 66, 47, 43, 9, 3, 3
2024/3/23, 80, 27, 41, 16, 3, 3
2024/3/24, 53, 20, 30, 15, 3, 3
2024/3/25, 36, 7, 31, 9, 3, 4
2024/3/26, 12, 23, 34, 21, 4, 5
2024/3/27, 52, 26, 32, 23, 3, 5
2024/3/28, 58, 179, 32, 14, 3, 6
2024/3/29, 125, 66, 37, 16, 3, 6
2024/3/30, 75, 38, 38, 10, 4, 4
2024/3/31, 43, 42, 41, 20, 4, 4
2023/10/1, 25, 17, 32, 17, 3, 3
2023/10/2, 25, 19, 25, 20, 3, 4
2023/10/3, 38, 22, 37, 20, 2, 4
2023/10/4, 45, 32, 27, 9, 3, 2
2023/10/5, 18, 21, 25, 21, 3, 3
2023/10/6, 29, 21, 25, 22, 3, 4
2023/10/7, 41, 12, 21, 12, 2, 3
2023/10/8, 21, 12, 27, 13, 2, 3
2023/10/9, 17, 18, 27, 18, 3, 3
2023/10/10, 37, 21, 33, 28, 3, 4
2023/10/11, 51, 22, 40, 28, 3, 4
2023/10/12, 57, 30, 37, 29, 3, 4
2023/10/13, 71, 27, 22, 26, 3, 4
2023/10/14, 74, 21, 42, 17, 3, 4
2023/10/15, 61, 40, 33, 17, 4, 4
2023/10/16, 62, 30, 33, 27, 4, 4
2023/10/17, 47, 30, 37, 30, 4, 4
2023/10/18, 62, 29, 24, 30, 3, 5
2023/10/19, 66, 18, 23, 9, 3, 2
2023/10/20, 25, 15, 27, 14, 3, 3
2023/10/21, 20, 21, 29, 22, 4, 4
2023/10/22, 42, 30, 36, 28, 3, 5
2023/10/23, 64, 34, 32, 26, 2, 5
2023/10/24, 74, 38, 39, 24, 2, 5
2023/10/25, 79, 50, 49, 22, 2, 6
2023/10/26, 100, 24, 29, 11, 2, 4
2023/10/27, 53, 32, 28, 22, 2, 5
2023/10/28, 67, 27, 33, 20, 2, 5
2023/10/29, 62, 41, 36, 27, 3, 5
2023/10/30, 81, 50, 43, 23, 3, 5
2023/10/31, 97, 47, 48, 15, 2, 5
2023/11/1, 84, 39, 44, 10, 2, 4
2023/11/2, 68, 28, 34, 9, 2, 4
2023/11/3, 55, 42, 21, 8, 2, 4
2023/11/4, 61, 9, 22, 5, 2, 4
2023/11/5, 30, 16, 26, 3, 1, 4
2023/11/6, 34, 15, 27, 1, 2, 3
2023/11/7, 27, 22, 15, 40, 3, 5
2023/11/8, 45, 28, 22, 32, 3, 6
2023/11/9, 58, 14, 24, 9, 2, 3
2023/11/10, 30, 15, 25, 9, 2, 2
2023/11/11, 28, 16, 26, 6, 2, 2
2023/11/12, 36, 20, 22, 17, 3, 3
2023/11/13, 46, 22, 22, 25, 2, 4
2023/11/14, 51, 40, 19, 34, 3, 7
2023/11/15, 82, 43, 9, 33, 2, 6
2023/11/16, 97, 16, 18, 11, 2, 3
2023/11/17, 30, 17, 23, 6, 3, 3
2023/11/18, 44, 36, 27, 21, 3, 5
2023/11/19, 77, 27, 12, 28, 3, 6
2023/11/20, 60, 32, 11, 41, 3, 7
2023/11/21, 70, 42, 14, 45, 3, 7
2023/11/22, 86, 67, 29, 22, 3, 6
2023/11/23, 114, 13, 22, 5, 2, 3
2023/11/24, 31, 15, 19, 16, 3, 4
2023/11/25, 33, 24, 13, 28, 3, 5
2023/11/26, 56, 36, 21, 29, 3, 6
2023/11/27, 81, 27, 23, 10, 3, 4
2023/11/28, 59, 16, 24, 18, 3, 4
2023/11/29, 33, 13, 24, 7, 3, 3
2023/11/30, 23, 19, 22, 17, 3, 4
2023/12/1, 38, 31, 22, 28, 4, 6
2023/12/2, 63, 32, 22, 19, 4, 6
2023/12/3, 69, 40, 9, 42, 4, 8
2023/12/4, 80, 39, 14, 40, 4, 7
2023/12/5, 81, 57, 25, 37, 4, 8
2023/12/6, 119, 52, 21, 22, 4, 5
2023/12/7, 63, 64, 39, 29, 3, 7
2023/12/8, 75, 61, 36, 21, 3, 6
2023/12/9, 95, 64, 23, 15, 3, 7
2023/12/10, 104, 6, 20, 9, 2, 3
2023/12/11, 22, 10, 19, 14, 2, 4
2023/12/12, 16, 13, 10, 23, 3, 5
2023/12/13, 29, 10, 21, 18, 2, 4
2023/12/14, 25, 5, 22, 13, 2, 3
2023/12/15, 16, 13, 27, 3, 2, 3
2023/12/16, 33, 11, 26, 2, 3, 3
2023/12/17, 25, 10, 20, 15, 3, 4
2023/12/18, 26, 19, 13, 28, 3, 5
2023/12/19, 50, 35, 25, 10, 3, 6
2023/12/20, 80, 15, 23, 6, 3, 4
2023/12/21, 44, 16, 23, 9, 3, 4
2023/12/22, 39, 29, 9, 33, 3, 7
2023/12/23, 67, 33, 16, 33, 3, 7
2023/12/24, 80, 41, 23, 34, 3, 8
2023/12/25, 102, 44, 20, 40, 4, 9
2023/12/26, 102, 60, 13, 46, 4, 11
2023/12/27, 144, 43, 14, 40, 4, 11
2023/12/28, 112, 40, 16, 31, 3, 8
2023/12/29, 96, 33, 17, 30, 2, 7
2023/12/30, 89, 19, 19, 23, 2, 8
2023/12/31, 59, 19, 19, 24, 3, 9
2023/7/1, 60, 18, 39, 8, 3, 3
2023/7/2, 46, 25, 80, 12, 3, 4
2023/7/3, 59, 27, 34, 15, 3, 4
2023/7/4, 64, 19, 53, 8, 3, 4
2023/7/5, 49, 40, 80, 13, 4, 5
2023/7/6, 82, 34, 54, 16, 4, 4
2023/7/7, 64, 10, 37, 11, 3, 3
2023/7/8, 27, 9, 44, 9, 4, 3
2023/7/9, 30, 18, 59, 14, 4, 3
2023/7/10, 58, 12, 37, 15, 3, 4
2023/7/11, 36, 17, 49, 16, 3, 4
2023/7/12, 56, 12, 13, 21, 3, 5
2023/7/13, 49, 10, 32, 13, 3, 4
2023/7/14, 35, 15, 33, 12, 3, 4
2023/7/15, 52, 17, 34, 10, 3, 4
2023/7/16, 60, 14, 29, 15, 4, 4
2023/7/17, 54, 8, 11, 14, 3, 3
2023/7/18, 29, 13, 47, 13, 3, 4
2023/7/19, 50, 51, 76, 16, 3, 6
2023/7/20, 109, 53, 131, 17, 3, 6
2023/7/21, 125, 27, 37, 10, 4, 4
2023/7/22, 61, 8, 10, 7, 3, 3
2023/7/23, 19, 20, 49, 13, 4, 4
2023/7/24, 51, 17, 30, 10, 4, 3
2023/7/25, 36, 12, 23, 11, 4, 3
2023/7/26, 17, 16, 36, 17, 4, 4
2023/7/27, 42, 22, 43, 13, 5, 4
2023/7/28, 66, 18, 46, 10, 4, 2
2023/7/29, 62, 9, 46, 9, 4, 3
2023/7/30, 29, 19, 46, 13, 4, 4
2023/7/31, 62, 17, 89, 11, 4, 3
