date, pm25, pm10, o3, no2, so2, co
2022/11/10, 144, 48, 30, 43, 4, 8
2022/11/11, 104, 42, 24, 38, 4, 8
2022/11/14, 57, 28, 19, 24, 4, 8
2022/11/15, 63, 32, 21, 27, 4, 9
2022/11/16, 68, 39, 15, 39, 4, 9
2022/11/17, 76, 43, 21, 39, 4, 10
2022/11/18, 88, 28, 29, 37, 4, 9
2022/11/19, 65, 25, 32, 33, 4, 8
2022/11/20, 61, 32, 26, 37, 4, 9
2022/11/21, 71, 49, 15, 34, 4, 10
2022/11/22, 105, 38, 25, 24, 4, 6
2022/11/23, 81, 43, 13, 36, 4, 8
2022/11/24, 87, 53, 32, 30, 4, 7
2022/11/25, 104, 48, 23, 12, 4, 5
2022/11/26, 63, 16, 18, 21, 4, 9
2022/11/27, 41, 22, 11, 32, 4, 8
2022/11/28, 53, 21, 22, 19, 4, 7
2022/11/29, 46, 20, 20, 7, 5, 7
2022/11/30, 24, 17, 19, 13, 4, 6
2022/12/1, 32, 16, 15, 26, 4, 6
2022/12/2, 36, 30, 18, 27, 4, 7
2022/12/3, 72, 13, 23, 11, 4, 5
2022/12/4, 26, 16, 17, 19, 4, 6
2022/12/5, 38, 23, 18, 32, 4, 7
2022/12/6, 53, 30, 20, 31, 4, 8
2022/12/7, 51, 23, 14, 39, 4, 7
2022/12/8, 41, 39, 14, 41, 4, 7
2022/12/9, 79, 34, 13, 40, 4, 6
2022/12/10, 73, 37, 19, 30, 5, 6
2022/12/11, 81, 30, 6, 41, 3, 7
2022/12/12, 71, 128, 22, 16, 3, 3
2022/12/13, 112, 38, 20, 10, 4, 2
2022/12/14, 41, 27, 13, 28, 4, 5
2022/12/15, 68, 24, 13, 24, 4, 5
2022/12/16, 63, 19, 21, 18, 4, 3
2022/12/17, 48, 14, 22, 11, 4, 3
2022/12/18, 32, 19, 15, 29, 4, 5
2022/12/19, 50, 28, 9, 38, 4, 6
2022/12/20, 72, 37, 22, 33, 4, 6
2022/12/21, 87, 23, 22, 12, , 3
2022/12/22, 53, 15, 23, 10, , 3
2022/12/23, 41, 24, 16, 28, 4, 6
2022/12/24, 65, 34, 17, 38, 4, 8
2022/12/25, 91, 38, 6, 48, 4, 9
2022/12/26, 97, 43, 9, 48, 4, 9
2022/12/27, 106, 28, 22, 28, 4, 7
2022/12/28, 69, 24, 12, 33, 4, 6
2022/12/29, 60, 32, 23, 33, 4, 7
2022/12/30, 79, 40, 9, 46, 4, 10
2022/12/31, 100, 41, 26, 29, 5, 9
2023/1/1, 102, 18, 19, 19, 4, 5
2022/7/1, 29, 20, 76, 11, 3, 4
2022/7/2, 46, 29, 61, 10, 4, 4
2022/7/3, 73, 30, 42, 14, 3, 4
2022/7/4, 75, 25, 77, 16, 3, 4
2022/7/5, 68, 22, 46, 14, 3, 4
2022/7/6, 59, 16, 28, 13, 2, 4
2022/7/7, 41, 21, 36, 12, 2, 5
2022/7/8, 59, 15, 39, 10, 2, 5
2022/7/9, 47, 35, 97, 13, 3, 6
2022/7/10, 79, 21, 45, 15, 3, 4
2022/7/11, 54, 9, 32, 12, , 3
2022/7/12, 17, 11, 16, 18, 2, 5
2022/7/13, 31, 10, 31, 10, 2, 4
2022/7/14, 22, 22, 57, 13, 2, 4
2022/7/15, 51, 26, 36, 16, 2, 5
2022/7/16, 70, 23, 46, 12, 2, 5
2022/7/17, 61, 22, 44, 14, 2, 4
2022/7/18, 54, 29, 54, 12, 2, 4
2022/7/19, 69, 30, 57, 12, 3, 4
2022/7/20, 68, 9, 38, 10, , 4
2022/7/21, 25, 20, 40, 11, , 4
2022/7/22, 52, 29, 38, 14, 2, 5
2022/7/23, 72, 12, 40, 8, , 5
2022/7/24, 35, 13, 39, 10, 2, 4
2022/7/25, 26, 25, 100, 13, 2, 4
2022/7/26, 60, 24, 46, 14, 2, 4
2022/7/27, 57, 19, 49, 13, 2, 3
2022/7/28, 53, 18, 48, 13, 4, 3
2022/7/29, 50, 16, 29, 11, 2, 3
2022/7/30, 42, 8, 10, 9, , 2
2022/7/31, 24, 9, 21, 9, 2, 2
2022/8/1, 27, 8, 17, 10, , 3
2022/8/2, 20, 17, 33, 12, 2, 3
2022/8/3, 48, 15, 36, 10, 2, 2
2022/8/4, 35, 16, 28, 13, 3, 2
2022/8/5, 35, 29, 41, 13, 3, 4
2022/8/6, 67, 27, 31, 10, 3, 3
2022/8/7, 61, 18, 38, 15, 2, 3
2022/8/8, 41, 6, 28, 15, , 3
2022/8/9, 18, 14, 38, 19, 2, 3
2022/8/10, 27, 11, 39, 18, 3, 4
2022/8/11, 35, 21, 79, 14, 2, 3
2022/8/12, 48, 26, 22, 23, 4, 5
2022/8/13, 63, 20, 45, 11, 2, 4
2022/8/14, 53, 19, 36, 7, 2, 2
2022/8/15, 43, 22, 51, 13, 4, 4
2022/8/16, 48, 18, 51, 17, 2, 4
2022/8/17, 42, 22, 62, 16, 3, 4
2022/8/18, 43, 23, 32, 18, 2, 4
2022/8/19, 56, 21, 53, 9, 2, 4
2022/8/20, 49, 21, 63, 10, 3, 4
2022/8/21, 48, 21, 42, 15, 3, 4
2022/8/22, 44, 14, 36, 12, 2, 3
2022/8/23, 32, 16, 27, 14, 3, 3
2022/8/24, 32, 17, 32, 19, , 4
2022/8/25, 32, 30, 65, 14, , 4
2022/8/26, 60, 18, 40, 9, 3, 3
2022/8/27, 34, 11, 31, 11, , 3
2022/8/28, 25, 10, 16, 16, 3, 3
2022/8/29, 24, 5, 17, 13, 2, 3
2022/8/30, 11, 8, 25, 13, 3, 3
2022/8/31, 12, 14, 37, 15, 3, 3
2022/9/1, 33, 16, 29, 15, 3, 3
2022/9/2, 30, 12, 26, 10, 3, 2
2022/9/3, 15, 7, 24, 9, 3, 3
2022/9/4, 20, 3, 43, 11, 2, 3
2022/9/5, 9, 15, 45, 11, 3, 2
2022/9/6, 20, 27, 38, 21, 2, 4
2022/9/7, 45, 25, 53, 21, 2, 5
2022/9/8, 47, 17, 34, 14, 2, 4
2022/9/9, 39, 8, 30, 9, 2, 3
2022/9/10, 14, 17, 30, 8, 2, 3
2022/9/11, 39, 18, 37, 11, 2, 4
2022/9/12, 44, 18, 16, 14, 2, 4
2022/9/13, 48, 18, 33, 13, , 2
2022/9/14, 33, 18, 29, 12, 2, 3
2022/9/15, 35, 19, 24, 15, 2, 3
2022/9/16, 44, 20, 36, 13, 3, 4
2022/9/17, 55, 18, 27, 10, , 3
2022/9/18, 47, 19, 26, 9, , 2
2022/9/19, 31, 25, 34, 10, 3, 1
2022/9/20, 28, 27, 35, 17, 2, 3
2022/9/21, 43, 19, 38, 18, 3, 2
2022/9/22, 31, 23, 32, 16, 2, 2
2022/9/23, 30, 16, 32, 11, 3, 2
2022/9/24, 21, 19, 43, 15, 3, 2
2022/9/25, 33, 23, 47, 22, 3, 3
2022/9/26, 49, 24, 33, 27, 3, 2
2022/9/27, 50, 49, 32, 35, 4, 4
2022/9/28, 86, 55, 78, 31, 2, 4
2022/9/29, 105, 42, 86, 30, 3, 4
2022/9/30, 89, 42, 81, 30, 2, 4
2022/4/1, 32, 30, 37, 22, 5, 4
2022/4/2, 59, 43, 44, 21, 5, 5
2022/4/3, 84, 54, 47, 25, 4, 6
2022/4/4, 104, 44, 46, 28, 4, 5
2022/4/5, 82, 49, 37, 17, 3, 4
2022/4/6, 73, 38, 34, 15, 2, 3
2022/4/7, 40, 49, 46, 30, 4, 5
2022/4/8, 67, 54, 53, 34, 4, 6
2022/4/9, 81, 44, 51, 23, 4, 5
2022/4/10, 73, 35, 39, 23, 3, 4
2022/4/11, 60, 29, 34, 14, 2, 3
2022/4/12, 57, 17, 28, 13, , 3
2022/4/13, 27, 12, 30, 12, , 3
2022/4/14, 14, 20, 36, 13, 3, 3
2022/4/15, 32, 34, 44, 16, 3, 4
2022/4/16, 56, 55, 50, 19, 4, 5
2022/4/17, 88, 56, 54, 28, 5, 5
2022/4/18, 93, 60, 58, 29, 5, 5
2022/4/19, 104, 61, 69, 27, 5, 5
2022/4/20, 123, 49, 52, 24, 4, 5
2022/4/21, 86, 45, 42, 16, 3, 5
2022/4/22, 82, 48, 43, 21, 4, 5
2022/4/23, 90, 50, 63, 15, 3, 5
2022/4/24, 92, 43, 47, 21, 2, 7
2022/4/25, 81, 42, 45, 16, , 4
2022/4/26, 66, 108, 37, 13, 3, 3
2022/4/27, 67, 59, 41, 20, 3, 4
2022/4/28, 55, 10, 30, 11, , 
2022/4/29, 13, 17, 34, 13, 2, 4
2022/4/30, 31, 45, 43, 12, 3, 4
2022/5/1, 58, 43, 40, 17, 2, 4
2022/5/2, 70, 35, 44, 23, 3, 4
2022/5/3, 64, 38, 62, 24, 4, 4
2022/5/4, 67, 34, 52, 18, 4, 4
2022/5/5, 61, 34, 38, 17, 3, 4
2022/5/6, 65, 26, 38, 9, , 2
2022/5/7, 39, 17, 30, 10, , 3
2022/5/8, 23, 14, 35, 15, 2, 3
2022/5/9, 24, 24, 47, 22, 3, 3
2022/5/10, 45, 29, 47, 14, 2, 3
2022/5/11, 51, 32, 50, 15, 3, 4
2022/5/12, 52, 27, 37, 12, 2, 3
2022/5/13, 45, 32, 34, 9, 3, 3
2022/5/14, 38, 22, 38, 9, 3, 3
2022/5/15, 27, 33, 54, 15, 3, 3
2022/5/16, 48, 54, 67, 18, 4, 4
2022/5/17, 89, 58, 67, 19, 3, 5
2022/5/18, 104, 45, 54, 15, 4, 4
2022/5/19, 74, 35, 49, 19, 4, 4
2022/5/20, 72, 39, 45, 15, 3, 4
2022/5/21, 78, 43, 53, 11, 3, 4
2022/5/22, 84, 63, 96, 17, 4, 5
2022/5/23, 124, 38, 45, 19, 3, 3
2022/5/24, 66, 23, 39, 19, 3, 3
2022/5/25, 47, 25, 36, 12, 3, 3
2022/5/26, 30, 25, 36, 13, 2, 3
2022/5/27, 45, 33, 67, 18, 5, 3
2022/5/28, 64, 30, 67, 10, 2, 3
2022/5/29, 69, 29, 37, 13, , 3
2022/5/30, 61, 25, 40, 18, 3, 3
2022/5/31, 32, 24, 47, 19, 4, 3
2022/6/1, 37, 30, 50, 15, 3, 3
2022/6/2, 55, 42, 84, 16, 3, 5
2022/6/3, 77, 34, 63, 14, 3, 4
2022/6/4, 67, 25, 38, 11, 3, 3
2022/6/5, 54, 6, 23, 6, 2, 2
2022/6/6, 11, 4, 27, 9, , 2
2022/6/7, 7, 14, 36, 11, 2, 2
2022/6/8, 31, 24, 27, 16, 2, 4
2022/6/9, 58, 25, 34, 16, 2, 4
2022/6/10, 62, 21, 47, 12, 2, 4
2022/6/11, 52, 21, 57, 9, 3, 4
2022/6/12, 48, 22, 33, 11, 3, 3
2022/6/13, 55, 11, 24, 8, 2, 2
2022/6/14, 15, 9, 29, 13, 2, 4
2022/6/15, 21, 17, 27, 14, 4, 3
2022/6/16, 40, 33, 55, 19, 2, 4
2022/6/17, 74, 23, 27, 13, 2, 3
2022/6/18, 54, 25, 31, 11, 2, 4
2022/6/19, 60, 31, 56, 15, , 4
2022/6/20, 68, 31, 55, 18, , 3
2022/6/21, 59, 26, 57, 16, 3, 3
2022/6/22, 51, 28, 35, 22, 3, 4
2022/6/23, 67, 20, 48, 11, 2, 5
2022/6/24, 53, 43, 66, 11, 2, 6
2022/6/25, 106, 21, 33, 10, 3, 4
2022/6/26, 50, 11, 7, 11, 2, 4
2022/6/27, 20, 15, 11, 8, 2, 3
2022/6/28, 31, 10, 12, 10, 2, 4
2022/6/29, 26, 4, 31, 15, , 4
2022/6/30, 13, 13, 20, 15, 3, 5
2022/1/3, 47, 26, 19, 22, 4, 5
2022/1/4, 59, 41, 11, 36, 4, 9
2022/1/5, 81, 38, 19, 37, 4, 9
2022/1/6, 78, 49, 11, 42, 5, 11
2022/1/7, 101, 49, 7, 54, 4, 12
2022/1/8, 104, 78, 21, 32, 3, 12
2022/1/9, 163, 62, 23, 46, 3, 12
2022/1/10, 140, 22, 20, 14, 3, 6
2022/1/11, 57, 16, 20, 18, , 6
2022/1/12, 46, 25, 22, 15, 4, 4
2022/1/13, 37, 26, 14, 31, 4, 4
2022/1/14, 48, 40, 4, 46, 4, 6
2022/1/15, 78, 38, 25, 22, 3, 5
2022/1/16, 75, 21, 21, 24, 3, 4
2022/1/17, 48, 29, 17, 25, 4, 4
2022/1/18, 62, 38, 21, 41, 4, 6
2022/1/19, 86, 30, 16, 30, 4, 5
2022/1/20, 74, 29, 15, 43, 4, 6
2022/1/21, 74, 44, 7, 54, 5, 9
2022/1/22, 102, 51, 19, 37, 4, 7
2022/1/23, 116, 20, 23, 36, 3, 6
2022/1/24, 51, 23, 18, 29, 3, 4
2022/1/25, 56, 48, 27, 27, 4, 6
2022/1/26, 101, 50, 22, 26, 4, 6
2022/1/27, 103, 28, 25, 20, 4, 4
2022/1/28, 60, 21, 27, 17, 4, 4
2022/1/29, 46, 29, 25, 19, 4, 5
2022/1/30, 58, 29, 23, 29, 4, 6
2022/1/31, 63, 36, 30, 15, 3, 6
2022/2/1, 91, 23, 29, 16, 3, 5
2022/2/2, 61, 15, 31, 18, 4, 4
2022/2/3, 45, 15, 28, 19, 4, 5
2022/2/4, 37, 21, 28, 10, , 4
2022/2/5, 29, 16, 30, 19, 4, 5
2022/2/6, 34, 21, 21, 30, 4, 6
2022/2/7, 50, 25, 24, 38, 4, 8
2022/2/8, 60, 31, 16, 45, 4, 8
2022/2/9, 70, 43, 29, 41, 4, 8
2022/2/10, 90, 64, 29, 51, 4, 11
2022/2/11, 146, 67, 29, 41, 4, 10
2022/2/12, 140, 51, 31, 31, 4, 8
2022/2/13, 105, 38, 26, 30, 2, 8
2022/2/14, 86, 33, 27, 13, 2, 6
2022/2/15, 70, 25, 27, 11, 3, 5
2022/2/16, 59, 27, 24, 18, , 7
2022/2/17, 61, 42, 12, 44, 4, 9
2022/2/18, 84, 38, 27, 23, 3, 7
2022/2/19, 73, 28, 29, 10, 4, 5
2022/2/20, 47, 27, 26, 23, 4, 7
2022/2/21, 53, 27, 27, 11, , 4
2022/2/22, 48, 24, 28, 12, 4, 3
2022/2/23, 42, 29, 29, 28, 4, 5
2022/2/24, 57, 60, 36, 43, 4, 7
2022/2/25, 122, 60, 37, 21, 2, 5
2022/2/26, 121, 46, 32, 21, 3, 4
2022/2/27, 78, 44, 20, 38, 3, 6
2022/2/28, 62, 36, 32, 26, 3, 4
2022/3/1, 73, 29, 26, 26, 4, 4
2022/3/2, 54, 48, 30, 31, 3, 5
2022/3/3, 74, 67, 44, 38, 4, 7
2022/3/4, 103, 73, 31, 11, 3, 4
2022/3/5, 54, 42, 31, 11, 4, 
2022/3/6, 32, 38, 14, 35, 4, 5
2022/3/7, 58, 49, 29, 40, 4, 6
2022/3/8, 77, 60, 36, 38, 3, 7
2022/3/9, 106, 59, 33, 44, 5, 7
2022/3/10, 110, 60, 38, 47, 4, 6
2022/3/11, 104, 55, 38, 34, 3, 5
2022/3/12, 100, 15, 26, 17, 2, 3
2022/3/13, 34, 16, 30, 21, 2, 4
2022/3/14, 33, 39, 24, 28, 4, 6
2022/3/15, 87, 59, 31, 35, 3, 6
2022/3/16, 106, 44, 28, 18, 2, 4
2022/3/17, 71, 7, 28, 13, 2, 
2022/3/18, 8, 5, 28, 15, , 3
2022/3/19, 13, 18, 34, 17, 2, 4
2022/3/20, 45, 26, 30, 22, 3, 4
2022/3/21, 53, 34, 39, 19, 3, 4
2022/3/22, 71, 37, 26, 24, 3, 5
2022/3/23, 70, 47, 22, 31, 3, 5
2022/3/24, 89, 61, 29, 34, 2, 6
2022/3/25, 126, 12, 31, 14, 2, 3
2022/3/26, 29, 30, 36, 12, 3, 3
2022/3/27, 45, 28, 30, 23, 3, 4
2022/3/28, 45, 37, 37, 28, 3, 4
2022/3/29, 54, 36, 23, 32, 2, 4
2022/3/30, 61, 21, 31, 14, , 3
2022/3/31, 40, 15, 33, 16, 4, 3
2021/10/1, 58, 22, 47, 21, 4, 6
2021/10/2, 41, 34, 52, 22, 4, 7
2021/10/3, 67, 35, 28, 19, , 6
2021/10/4, 55, 32, 31, 12, 4, 6
2021/10/5, 51, 5, 14, 13, 3, 4
2021/10/6, 8, 11, 23, 16, , 3
2021/10/7, 22, 20, 11, 20, , 5
2021/10/8, 42, 11, 16, 17, , 4
2021/10/9, 20, 15, 28, 15, 3, 4
2021/10/10, 37, 22, 23, 13, , 3
2021/10/11, 35, 10, 25, 15, 3, 3
2021/10/12, 11, 11, 29, 20, 3, 3
2021/10/13, 13, 19, 38, 20, 4, 3
2021/10/14, 31, 22, 26, 14, 4, 3
2021/10/15, 45, 27, 26, 8, , 2
2021/10/16, 28, 16, 26, 7, , 4
2021/10/17, 16, 21, 17, 25, 4, 5
2021/10/18, 33, 26, 30, 22, , 4
2021/10/19, 62, 22, 19, 25, , 4
2021/10/20, 49, 31, 26, 31, 4, 5
2021/10/21, 66, 33, 25, 29, 4, 5
2021/10/22, 60, 33, 23, 35, 4, 6
2021/10/23, 63, 24, 38, 29, 4, 5
2021/10/24, 59, 24, 33, 32, , 5
2021/10/25, 52, 44, 33, 40, 4, 6
2021/10/26, 81, 45, 30, 33, 4, 6
2021/10/27, 78, 25, 19, 35, 4, 5
2021/10/28, 40, 20, 27, 33, 4, 5
2021/10/29, 34, 20, 17, 30, 4, 5
2021/10/30, 38, 26, 36, 25, , 5
2021/10/31, 59, 31, 32, 29, 4, 6
2021/11/1, 68, 35, 31, 26, 4, 7
2021/11/2, 75, 37, 32, 30, 4, 6
2021/11/3, 78, 52, 16, 43, 4, 7
2021/11/4, 100, 56, 27, 43, 4, 9
2021/11/5, 103, 53, 33, 37, 4, 7
2021/11/6, 95, 29, 30, 31, 4, 6
2021/11/7, 61, 6, 23, 15, 4, 4
2021/11/8, 12, 6, 23, 16, , 3
2021/11/9, 18, 8, 21, 12, , 3
2021/11/10, 20, 14, 24, 13, , 3
2021/11/11, 24, 18, 21, 12, 4, 3
2021/11/12, 24, 26, 14, 35, 4, 6
2021/11/13, 43, 49, 37, 35, 5, 7
2021/11/14, 82, 56, 21, 38, 4, 7
2021/11/15, 77, 47, 24, 33, 4, 6
2021/11/16, 67, 36, 14, 37, 4, 6
2021/11/17, 62, 53, 39, 38, 4, 6
2021/11/18, 88, 77, 37, 36, 4, 7
2021/11/19, 124, 96, 25, 44, 4, 10
2021/11/20, 165, 89, 24, 44, 5, 10
2021/11/21, 163, 35, 26, 12, 4, 4
2021/11/22, 54, 25, 21, 16, 4, 
2021/11/23, 41, 24, 16, 30, 5, 7
2021/11/24, 44, 43, 24, 33, 5, 8
2021/11/25, 59, 18, 24, 26, 4, 5
2021/11/26, 42, 32, 16, 31, 4, 5
2021/11/27, 65, 40, 12, 43, 4, 7
2021/11/28, 86, 50, 9, 52, 4, 8
2021/11/29, 100, 10, 22, 21, 3, 3
2021/11/30, 39, 12, 22, 10, 3, 2
2021/12/1, 33, 17, 13, 27, 4, 5
2021/12/2, 46, 15, 21, 16, , 4
2021/12/3, 30, 15, 22, 24, 4, 4
2021/12/4, 34, 27, 15, 34, 4, 7
2021/12/5, 68, 37, 8, 47, 4, 8
2021/12/6, 77, 45, 18, 41, 4, 7
2021/12/7, 88, 33, 8, 44, 4, 8
2021/12/8, 72, 33, 4, 42, 4, 8
2021/12/9, 72, 25, 2, 37, , 7
2021/12/10, 59, 51, 12, 33, 3, 8
2021/12/11, 111, 31, 23, 16, , 5
2021/12/12, 65, 13, 20, 19, , 4
2021/12/13, 27, 29, 7, 40, 4, 5
2021/12/14, 63, 59, 18, 41, 3, 7
2021/12/15, 113, 68, 25, 37, 3, 7
2021/12/16, 131, 30, 23, 11, 3, 3
2021/12/17, 51, 19, 17, 33, 3, 5
2021/12/18, 38, 27, 19, 28, 4, 5
2021/12/19, 46, 46, 14, 49, 4, 9
2021/12/20, 81, 52, 27, 44, 4, 10
2021/12/21, 100, 27, 13, 36, 4, 5
2021/12/22, 53, 36, 9, 45, 4, 8
2021/12/23, 73, 39, 20, 33, 2, 7
2021/12/24, 85, 17, 23, 10, 3, 3
2021/12/25, 42, 8, 23, 10, 3, 3
2021/12/26, 28, 24, 15, 35, 3, 7
2021/12/27, 53, 42, 3, 43, 3, 9
2021/12/28, 88, 52, 18, 38, 4, 9
2021/12/29, 113, 22, 24, 16, 3, 4
2021/12/30, 44, 16, 25, 12, 2, 4
2021/12/31, 16, 23, 14, 37, 4, 8
2022/1/1, 49, 28, 22, 33, 4, 7
2022/1/2, 71, 19, 8, 38, 4, 7
2021/7/1, 64, 22, 41, 15, 2, 6
2021/7/2, 47, 10, 25, 11, 2, 5
2021/7/3, 16, 8, 26, 10, , 6
2021/7/4, 28, 20, 41, 18, , 6
2021/7/5, 38, 42, 92, 22, 4, 7
2021/7/6, 75, 30, 44, 21, 2, 7
2021/7/7, 59, 24, 54, 18, 3, 7
2021/7/8, 56, 17, 41, 16, 2, 4
2021/7/9, 29, 24, 60, 14, 3, 5
2021/7/10, 52, 28, 44, 10, 3, 4
2021/7/11, 64, 26, 72, 19, 2, 5
2021/7/12, 72, 32, 46, 20, 3, 5
2021/7/13, 63, 23, 33, 18, 2, 4
2021/7/14, 44, 17, 48, 16, 2, 4
2021/7/15, 33, 17, 49, 15, 2, 4
2021/7/16, 29, 13, 30, 15, , 4
2021/7/17, 18, 9, 42, 10, 3, 4
2021/7/18, 17, 10, 30, 14, 2, 4
2021/7/19, 16, 16, 43, 18, 2, 5
2021/7/20, 31, 16, 40, 18, 2, 5
2021/7/21, 38, 18, 43, 16, 4, 4
2021/7/22, 33, 24, 61, 18, 3, 4
2021/7/23, 54, 24, 44, 17, 3, 4
2021/7/24, 49, 16, 50, 12, 3, 4
2021/7/25, 38, 17, 56, 12, 2, 4
2021/7/26, 35, 25, 55, 15, 3, 4
2021/7/27, 48, 29, 99, 15, 3, 4
2021/7/28, 61, 41, 82, 17, 4, 5
2021/7/29, 85, 26, 72, 17, 4, 4
2021/7/30, 56, 19, 66, 10, 4, 4
2021/7/31, 43, 23, 47, 10, 3, 5
2021/8/1, 56, 11, 35, 15, 4, 4
2021/8/2, 23, 18, 32, 17, 4, 4
2021/8/3, 37, 22, 37, 17, 4, 4
2021/8/4, 48, 19, 47, 14, 4, 4
2021/8/5, 45, 13, 21, 13, 4, 3
2021/8/6, 27, 12, 48, 12, 4, 3
2021/8/7, 18, 15, 32, 11, 4, 4
2021/8/8, 30, 10, 34, 11, 4, 3
2021/8/9, 14, 17, 44, 16, 4, 4
2021/8/10, 32, 28, 83, 15, 4, 5
2021/8/11, 61, 32, 70, 16, 3, 6
2021/8/12, 69, 22, 33, 18, 4, 5
2021/8/13, 49, 11, 30, 10, 4, 4
2021/8/14, 21, 7, 35, 8, 4, 4
2021/8/15, 16, 15, 39, 10, 3, 4
2021/8/16, 31, 14, 31, 10, 4, 4
2021/8/17, 21, 8, 29, 11, 3, 4
2021/8/18, 13, 11, 36, 11, , 4
2021/8/19, 19, 16, 50, 15, 4, 5
2021/8/20, 33, 9, 34, 11, 3, 5
2021/8/21, 22, 21, 47, 10, 4, 7
2021/8/22, 46, 22, 28, 18, 4, 8
2021/8/23, 51, 8, 23, 13, 3, 5
2021/8/24, 14, 13, 28, 18, 3, 4
2021/8/25, 29, 34, 43, 18, 4, 5
2021/8/26, 70, 27, 36, 21, 4, 4
2021/8/27, 53, 31, 64, 18, 4, 5
2021/8/28, 65, 25, 46, 10, 4, 5
2021/8/29, 65, 33, 50, 18, 4, 5
2021/8/30, 68, 26, 25, 19, 4, 6
2021/8/31, 57, 3, 25, 15, 3, 4
2021/9/1, 10, 10, 34, 17, 2, 4
2021/9/2, 17, 11, 35, 14, 2, 3
2021/9/3, 17, 7, 32, 12, 2, 3
2021/9/4, 11, 8, 30, 9, 2, 3
2021/9/5, 13, 14, 28, 12, 2, 4
2021/9/6, 18, 6, 25, 18, 2, 5
2021/9/7, 16, 10, 35, 14, 2, 5
2021/9/8, 15, 27, 42, 24, 2, 6
2021/9/9, 45, 28, 54, 23, 2, 6
2021/9/10, 58, 30, 77, 19, 4, 6
2021/9/11, 65, 19, 43, 16, 3, 6
2021/9/12, 40, 23, 40, 19, 2, 6
2021/9/13, 42, 19, 34, 17, 2, 6
2021/9/14, 31, 18, 31, 12, , 5
2021/9/15, 15, 11, 27, 13, , 6
2021/9/16, 7, 12, 25, 14, 3, 2
2021/9/17, 6, 6, 40, 13, 4, 3
2021/9/18, 15, 7, 34, 12, 3, 3
2021/9/19, 16, 8, 36, 10, 2, 3
2021/9/20, 16, 11, 43, 9, 3, 4
2021/9/21, 28, 7, 37, 8, 3, 3
2021/9/22, 15, 11, 34, 9, 3, 3
2021/9/23, 21, 12, 15, 12, 4, 4
2021/9/24, 26, 5, 9, 11, 3, 4
2021/9/25, 9, 3, 22, 8, 3, 4
2021/9/26, 7, 7, 25, 12, 4, 4
2021/9/27, 9, 8, 22, 15, , 4
2021/9/28, 12, 8, 21, 16, 4, 5
2021/9/29, 23, 17, 32, 18, 4, 5
2021/9/30, 36, 31, 43, 19, 4, 6
2021/4/1, 44, 41, 28, 22, 4, 7
2021/4/2, 43, 28, 21, 25, 3, 7
2021/4/3, 45, 9, 25, 14, , 6
2021/4/4, 14, 15, 26, 20, 3, 5
2021/4/5, 29, 36, 39, 26, 4, 5
2021/4/6, 60, 45, 32, 28, , 5
2021/4/7, 77, 33, 30, 18, , 4
2021/4/8, 47, 31, 32, 17, 4, 4
2021/4/9, 51, 29, 37, 19, 4, 4
2021/4/10, 58, 39, 38, 23, 4, 5
2021/4/11, 72, 34, 23, 30, 2, 6
2021/4/12, 60, 10, 25, 15, 2, 5
2021/4/13, 25, 25, 30, 14, 4, 5
2021/4/14, 48, 47, 35, 27, 4, 7
2021/4/15, 73, 65, 23, 29, , 6
2021/4/16, 64, 60, 24, 24, 3, 8
2021/4/17, 56, 26, 28, 12, 3, 6
2021/4/18, 44, 47, 36, 26, 4, 8
2021/4/19, 71, 62, 62, 36, 7, 6
2021/4/20, 93, 66, 70, 39, 6, 5
2021/4/21, 95, 65, 69, 31, 5, 5
2021/4/22, 97, 42, 41, 22, 4, 4
2021/4/23, 62, 20, 35, 17, 3, 3
2021/4/24, 40, 23, 37, 16, 3, 4
2021/4/25, 44, 28, 44, 16, 3, 3
2021/4/26, 43, 28, 35, 21, 4, 4
2021/4/27, 51, 52, 31, 24, 3, 5
2021/4/28, 77, 57, 40, 29, 4, 5
2021/4/29, 70, 28, 37, 19, 3, 5
2021/4/30, 53, 21, 32, 14, 3, 5
2021/5/1, 47, 17, 36, 12, 4, 5
2021/5/2, 24, 31, 43, 25, 4, 6
2021/5/3, 59, 27, 15, 35, 4, 9
2021/5/4, 61, 39, 36, 13, 3, 6
2021/5/5, 44, 62, 52, 27, 4, 5
2021/5/6, 60, 280, 26, 27, 4, 5
2021/5/7, 135, 385, 39, 13, 3, 5
2021/5/8, 183, 46, 42, 9, , 4
2021/5/9, 41, 20, 20, 26, 4, 6
2021/5/10, 36, 18, 37, 19, 4, 6
2021/5/11, 33, 19, 44, 16, 4, 6
2021/5/12, 35, 39, 75, 25, , 7
2021/5/13, 72, 45, 75, 23, 4, 7
2021/5/14, 84, 40, 34, 22, 3, 8
2021/5/15, 90, 4, 24, 10, 2, 6
2021/5/16, 19, 8, 21, 14, , 3
2021/5/17, 13, 25, 43, 20, 3, 4
2021/5/18, 43, 28, 73, 19, 4, 3
2021/5/19, 56, 20, 41, 22, 3, 3
2021/5/20, 34, 9, 37, 15, 3, 3
2021/5/21, 21, 25, 51, 17, , 3
2021/5/22, 50, 31, 63, 14, 4, 4
2021/5/23, 66, 88, 39, 15, 4, 3
2021/5/24, 104, 70, 42, 14, 3, 3
2021/5/25, 97, 41, 42, 18, , 3
2021/5/26, 57, 38, 40, 17, 3, 5
